#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
51,Georgia,1861665,0,17132,0,0,0,0,0,469082,4317,16920079,4263340,3968738,0,2,232,0,0,0,17130
52,Jordan,1746997,0,14122,0,1731007,0,1868,59,169597,1371,17201885,1669945,10300869,0,6,729,1,0,0,181
53,Ireland,1734582,0,9491,0,1724921,0,170,19,345521,1891,13083449,2606161,5020199,0,3,529,0,0,0,34
54,Pakistan,1581936,0,30664,0,1538689,0,12583,0,6893,134,30589153,133292,229488994,0,145,7484,8,0,0,55
55,Finland,1516117,0,11958,0,1503975,17,184,0,272930,2153,12108977,2179850,5554960,0,4,465,0,0,0,33
56,Norway,1509732,0,6638,0,1503094,0,0,0,273930,1204,11002430,1996315,5511370,0,4,830,1,0,0,0
57,Kazakhstan,1411831,0,13848,0,1383020,0,14963,24,73514,721,11575012,602707,19205043,0,14,1387,2,0,0,779
58,Lithuania,1397806,20,9897,0,1387478,33,431,0,525154,3718,10540357,3959997,2661708,0,2,269,0,8,0,162
59,Slovenia,1356546,0,7100,0,1349424,0,22,0,652803,3417,2847701,1370382,2078034,0,2,293,1,0,0,11
60,Bulgaria,1339851,3,38748,0,1292944,0,8159,22,195753,5661,11671043,1705147,6844597,0,5,177,1,0,0,1192
61,Croatia,1309728,0,18687,0,1258432,0,32609,0,322650,4604,5660084,1394355,4059286,0,3,217,1,0,0,8033
62,Guatemala,1291293,0,20289,0,1269891,0,1113,5,69484,1092,7593848,408622,18584039,0,14,916,2,0,0,60
63,Morocco,1278992,0,16303,0,0,0,0,0,33860,432,13001033,344191,37772756,0,30,2317,3,0,0,173
64,Lebanon,1243838,0,10952,0,1087587,0,145299,74,186068,1638,4795578,717380,6684849,0,5,610,1,0,0,21736
65,Costa Rica,1238883,0,9428,0,0,0,0,0,239058,1819,4659757,899158,5182354,0,4,550,1,0,0,71154
66,Bolivia,1212131,0,22407,0,1177145,0,12579,220,101073,1868,2710261,225993,11992656,0,10,535,4,0,0,1049
67,Tunisia,1153361,0,29423,0,0,0,0,0,95741,2442,5013383,416164,12046656,0,10,409,2,0,0,1157
68,Cuba,1115251,0,8530,0,1106660,0,61,0,98645,754,14402674,1273936,11305652,0,10,1325,1,0,0,5
69,Ecuador,1070188,0,36043,0,1034145,0,0,0,59083,1990,3082403,170173,18113361,0,17,503,6,0,0,0
70,UAE,1067030,0,2349,0,0,0,0,0,105837,233,200732262,19910389,10081785,0,9,4292,0,0,0,1007
71,Panama,1059893,0,8727,0,1051102,0,64,16,238341,1962,7882622,1772585,4446964,0,4,510,1,0,0,14
72,Uruguay,1041111,0,7664,0,1030944,0,2503,18,297799,2192,6114822,1749083,3496016,0,3,456,1,0,0,716
73,Mongolia,1011496,0,2284,0,1009212,0,0,0,299429,676,4030048,1193000,3378078,0,3,1479,1,0,0,0
74,Nepal,1003450,0,12031,0,991322,0,97,0,33199,398,6047766,200088,30225582,0,30,2512,5,0,0,3
75,Belarus,994037,0,7118,0,985592,0,1327,0,105381,755,13646641,1446722,9432800,0,9,1325,1,0,0,141
76,Latvia,982505,0,6715,0,971406,0,4384,0,531418,3632,7885792,4265272,1848837,0,2,275,0,0,0,2371
77,Saudi Arabia,841469,0,9646,0,0,0,0,0,23475,269,45481735,1268848,35844909,0,43,3716,1,0,0,109
78,Paraguay,837602,0,20155,0,0,0,0,0,114648,2759,2657506,363751,7305843,0,9,362,3,0,0,16306
79,Azerbaijan,835234,0,10400,0,824089,0,745,0,81089,1010,7748050,752223,10300205,0,12,990,1,0,0,72
80,Bahrain,729549,0,1574,0,727915,0,60,0,408944,882,10948549,6137138,1783983,0,2,1133,0,0,0,34
81,Cyprus,681110,0,1365,0,679745,0,0,0,556741,1116,9640118,7879860,1223387,0,2,896,0,0,0,0
82,Dominican Republic,675890,0,4384,0,671316,0,190,4,61131,397,3740928,338350,11056370,0,16,2522,3,0,0,17
83,Sri Lanka,672754,0,16897,0,655852,0,5,0,31181,783,6486117,300619,21575842,0,32,1277,3,0,0,0
84,Kuwait,667158,0,2570,0,0,0,0,0,152308,587,8455743,1930391,4380326,0,7,1704,1,0,0,993
85,Myanmar,641873,0,19495,0,620159,0,2219,0,11622,353,11711514,212061,55227143,0,86,2833,5,0,0,40
86,Moldova,635145,0,12218,0,0,0,0,0,158265,3044,3216305,801437,4013171,0,6,328,1,0,0,29599
87,Estonia,628070,0,3001,0,0,0,0,0,475123,2270,6968103,5271239,1321910,0,2,440,0,0,0,75708
88,Palestine,621008,0,5404,0,615445,0,159,0,116173,1011,3078533,575907,5345541,0,9,989,2,0,0,30
89,Venezuela,552695,0,5856,0,546537,0,302,31,18885,200,3359014,114771,29266991,0,53,4998,9,0,0,10
90,Egypt,516023,0,24613,0,442182,0,49228,122,4861,232,3693367,34792,106156692,0,206,4313,29,0,0,464
91,Qatar,514524,0,690,0,513687,0,147,16,172664,232,4065369,1364257,2979915,0,6,4319,1,0,0,49
92,Libya,507274,0,6437,0,500835,0,2,0,72048,914,2483848,352782,7040745,0,14,1094,3,0,0,0
93,Ethiopia,501157,0,7574,0,488171,0,5412,0,4148,63,5565340,46066,120812698,0,241,15951,22,0,0,45
94,Réunion,494595,0,921,0,0,0,0,0,544672,1014,1603660,1766027,908061,0,2,986,1,0,0,82706
95,Honduras,474590,0,11165,0,0,0,0,0,46432,1092,1660662,162472,10221247,0,22,915,6,0,0,32372
96,Armenia,451831,0,8777,0,435162,0,7892,0,152031,2953,3242901,1091164,2971966,0,7,339,1,0,0,2655
97,Bosnia and Herzegovina,403615,0,16388,0,379084,0,8143,0,124215,5044,1884721,580036,3249317,0,8,198,2,0,0,2506
98,Oman,399449,0,4628,0,0,0,0,0,75028,869,25000000,4695724,5323993,0,13,1150,0,0,0,1907
99,Luxembourg,391232,0,1232,0,0,0,0,0,609044,1918,4587145,7140959,642371,0,2,521,0,0,0,114124
100,North Macedonia,350567,0,9976,0,337068,0,3523,0,168436,4793,2226216,1069626,2081304,0,6,209,1,0,0,1693
101,Zambia,349304,0,4069,0,341316,0,3919,0,17940,209,4112961,211244,19470234,0,56,4785,5,0,0,201
102,Kenya,344130,0,5689,0,337309,0,1132,0,6122,101,3967062,70569,56215221,0,163,9881,14,0,0,20
103,Brunei,343719,0,225,0,243601,0,99893,0,771655,505,717784,1611437,445431,0,1,1980,1,0,0,224261
104,Albania,334863,0,3605,0,330233,0,1025,0,116825,1258,1941032,677173,2866374,0,9,795,1,0,0,358
105,Botswana,330638,0,2801,0,327049,0,788,1,135443,1147,2026898,830300,2441162,0,7,872,1,0,0,323
106,Montenegro,296542,0,2846,0,291794,0,1902,0,472238,4532,2769281,4410034,627950,0,2,221,0,0,0,3029
107,Algeria,272010,0,6881,0,183061,0,82068,0,5998,152,230960,5093,45350148,0,167,6591,196,0,0,1810
108,Nigeria,267188,0,3155,0,259953,0,4080,11,1233,15,5708974,26339,216746934,0,811,68700,38,0,0,19
109,Zimbabwe,266359,0,5740,0,258888,0,1731,12,17373,374,2525756,164744,15331428,0,58,2671,6,0,0,113
110,Uzbekistan,253662,0,1637,0,241486,0,10539,23,7378,48,1377915,40077,34382084,0,136,21003,25,0,0,307
111,Afghanistan,234174,0,7996,0,211080,0,15098,0,5746,196,1390730,34125,40754388,0,174,5097,29,0,0,370
112,Mozambique,233731,0,2250,0,228805,0,2676,11,7064,68,1371127,41437,33089461,0,142,14706,24,0,0,81
113,Martinique,230354,0,1102,0,0,0,0,0,615777,2946,828928,2215870,374087,0,2,339,0,0,0,612553
114,Laos,218970,0,758,0,0,0,0,0,29270,101,1233207,164845,7481023,0,34,9869,6,0,0,28145
